ID,PC1 score,NGSadmix %LCT,NGSadmix %RBT,Relative percent RBT
CAR_EFC_2017_001,-0.004510533,0.999999999,0.000000001,0.0
CAR_EFC_2017_002,-0.004679545,0.999999999,0.000000001,0.0
CAR_EFC_2017_004,-0.004653453,0.999999999,0.000000001,0.0
CAR_EFC_2017_006,-0.004650567,0.999999999,0.000000001,0.0
CAR_EFC_2017_009,-0.004612368,0.999999999,0.000000001,0.0
CAR_EFC_2017_010,-0.004672802,0.999999999,0.000000001,0.0
CAR_EFC_2017_011,-0.004659309,0.999999999,0.000000001,0.0
CAR_EFC_2017_012,-0.004637854,0.999999999,0.000000001,0.0
CAR_EFC_2017_013,-0.00463536,0.999999999,0.000000001,0.0
CAR_EFC_2017_015,-0.003252741,0.99516411,0.00483589,0.5
CAR_EFC_2017_017,-0.004653896,0.999999999,0.000000001,0.0
CAR_EFC_2017_018,-0.004720736,0.999999999,0.000000001,0.0
CAR_EFC_2017_019,-0.003676666,0.995185241,0.004814759,0.5
CAR_EFC_2017_021,-0.004478817,0.999999999,0.000000001,0.0
CAR_EFC_2017_022,-0.004662374,0.999999999,0.000000001,0.0
CAR_EFC_2017_025,-0.004609513,0.999999999,0.000000001,0.0
CAR_EFC_2017_027,-0.004608289,0.999999999,0.000000001,0.0
CAR_EFC_2017_028,-0.004303876,0.999999999,0.000000001,0.0
CAR_EFC_2017_031,-0.004718706,0.999999999,0.000000001,0.0
CAR_EFC_2017_032,-0.004613364,0.999999999,0.000000001,0.0
CAR_GOC_2017_033,-0.004563835,0.999999999,0.000000001,0.0
CAR_GOC_2017_034,-0.004696297,0.999999999,0.000000001,0.0
CAR_GOC_2017_035,-0.004601137,0.999999999,0.000000001,0.0
CAR_GOC_2017_036,-0.004733544,0.999999999,0.000000001,0.0
CAR_GOC_2017_037,-0.004590651,0.999999999,0.000000001,0.0
CAR_GOC_2017_038,-0.004611135,0.999999999,0.000000001,0.0
CAR_GOC_2017_039,-0.004637016,0.999999999,0.000000001,0.0
CAR_GOC_2017_040,-0.003765744,0.995026231,0.004973769,0.5
CAR_GOC_2017_041,-0.00446107,0.998798199,0.001201801,0.1
CAR_GOC_2017_042,-0.004539558,0.999999999,0.000000001,0.0
CAR_GOC_2017_043,-0.004612543,0.999999999,0.000000001,0.0
CAR_GOC_2017_044,-0.00432075,0.997553104,0.002446896,0.2
CAR_MUR_2017_045,-0.004507319,0.999999999,0.000000001,0.0
CAR_MUR_2017_046,-0.004553099,0.999999999,0.000000001,0.0
CAR_MUR_2017_047,-0.004579984,0.999999999,0.000000001,0.0
CAR_MUR_2017_048,-0.004742398,0.999999999,0.000000001,0.0
CAR_MUR_2017_049,-0.004595659,0.999999999,0.000000001,0.0
CAR_MUR_2017_050,-0.004678916,0.999999999,0.000000001,0.0
CAR_MUR_2017_051,-0.004771132,0.999999999,0.000000001,0.0
CAR_MUR_2017_054,-0.004116583,0.998162982,0.001837018,0.2
CAR_MUR_2017_055,-0.004489244,0.999999999,0.000000001,0.0
CAR_MUR_2017_056,-0.004515475,0.999999999,0.000000001,0.0
CAR_MUR_2017_058,-0.004559042,0.999999999,0.000000001,0.0
CAR_MUR_2017_059,-0.004639393,0.999999999,0.000000001,0.0
CAR_MUR_2017_060,-0.004696695,0.999999999,0.000000001,0.0
CAR_MUR_2017_061,-0.004668171,0.999999999,0.000000001,0.0
CAR_MUR_2017_064,-0.004588665,0.999999999,0.000000001,0.0
CAR_MUR_2017_065,-0.004441329,0.998745035,0.001254965,0.1
CAR_MUR_2017_067,-0.004787614,0.999999999,0.000000001,0.0
CAR_MUR_2017_068,-0.004587391,0.999999999,0.000000001,0.0
CAR_MUR_2017_070,-0.004642615,0.999999999,0.000000001,0.0
CAR_MUR_2017_071,-0.004694682,0.999999999,0.000000001,0.0
CAR_POI_2017_072,-0.00458076,0.999999999,0.000000001,0.0
CAR_POI_2017_073,-0.00481369,0.999999999,0.000000001,0.0
CAR_POI_2017_075,-0.004465189,0.999999999,0.000000001,0.0
