Output from NeEstimator v2.1
Starting time: Fri Oct 09 14:22:39 2020
Input File: "snps.gen"

Number of Loci = 897


LINKAGE DISEQUILIBRIUM METHOD, Mating Model: Random

Lowest allele frequencies used:     0.0500    0.0200    0.0100
Up to 17 rightmost characters are shown for Population name.
-------------------------------------------------------------
                   	         	      	             	            	         	          	         	    Parametric CI		    Jackknife CI
Population [#:Name]	Samp Size	PCrit.	Weighted Mean	Ind. Alleles	    r^2  	  Exp(r^2)	     Ne  	       Low	      High	       Low	      High	  (Eff.df)
1:V739             	     15  	0.0500	       7.5   	      4041  	 0.172291	  0.177825	    -57.3	     136.2	  Infinite	       2.4	  Infinite	        79
                   	         	0.0200	       8.0   	      5959  	 0.164236	  0.163550	    447.0	      43.9	  Infinite	       2.5	  Infinite	        90
                   	         	0.0100	       8.0   	      5959  	 0.164236	  0.163550	    447.0	      43.9	  Infinite	       2.5	  Infinite	        90
2:V754             	     12  	0.0500	       6.9   	      6053  	 0.180374	  0.188841	    -38.0	  Infinite	  Infinite	       4.7	  Infinite	       142
                   	         	0.0200	       7.2   	      7491  	 0.176449	  0.177882	   -216.5	      69.0	  Infinite	       3.1	  Infinite	       137
                   	         	0.0100	       7.2   	      7491  	 0.176449	  0.177882	   -216.5	      69.0	  Infinite	       3.1	  Infinite	       137
3:V93              	     19  	0.0500	       7.7   	      3247  	 0.147050	  0.162568	    -21.4	  Infinite	  Infinite	       7.7	  Infinite	       115
                   	         	0.0200	       9.0   	      9159  	 0.135449	  0.134967	    637.2	      66.8	  Infinite	       6.9	  Infinite	       178
                   	         	0.0100	       9.0   	      9159  	 0.135449	  0.134967	    637.2	      66.8	  Infinite	       6.9	  Infinite	       178
4:V454             	      7  	0.0500	       2.3   	      1540  	 0.409328	  0.725472	     -1.9	  Infinite	  Infinite	  Infinite	  Infinite	       133
                   	         	0.0200	       2.3   	      1540  	 0.409328	  0.725472	     -1.9	  Infinite	  Infinite	  Infinite	  Infinite	       133
                   	         	0.0100	       2.3   	      1540  	 0.409328	  0.725472	     -1.9	  Infinite	  Infinite	  Infinite	  Infinite	       133
5:V130             	     12  	0.0500	       8.9   	      3774  	 0.160168	  0.152054	     36.2	      17.9	     271.8	       2.0	  Infinite	        72
                   	         	0.0200	       9.4   	      6839  	 0.189389	  0.144154	      3.7	       3.0	       5.4	       0.9	  Infinite	        38
                   	         	0.0100	       9.4   	      6839  	 0.189389	  0.144154	      3.7	       3.0	       5.4	       0.9	  Infinite	        38
6:V142             	     20  	0.0500	       8.0   	      4883  	 0.180715	  0.159144	     12.3	       8.5	      19.2	       1.8	  Infinite	        96
                   	         	0.0200	       8.5   	      7182  	 0.153726	  0.142864	     26.6	      17.4	      50.0	       2.6	  Infinite	       117
                   	         	0.0100	       8.5   	      7182  	 0.153726	  0.142864	     26.6	      17.4	      50.0	       2.6	  Infinite	       117
7:V849             	      3  	0.0500	       2.8   	       273  	 0.315936	  0.857877	     -1.3	  Infinite	  Infinite	       0.8	  Infinite	         9
                   	         	0.0200	       2.8   	       273  	 0.315936	  0.857877	     -1.3	  Infinite	  Infinite	       0.8	  Infinite	         9
                   	         	0.0100	       2.8   	       273  	 0.315936	  0.857877	     -1.3	  Infinite	  Infinite	       0.8	  Infinite	         9
8:V932             	     58  	0.0500	       9.2   	      4552  	 0.068450	  0.066720	    176.2	      64.8	  Infinite	      20.6	  Infinite	       320
                   	         	0.0200	      11.6   	     13282  	 0.098324	  0.073834	     10.6	       9.4	      11.9	       3.2	      39.4	       193
                   	         	0.0100	      14.5   	     25081  	 0.100813	  0.062769	      5.7	       5.2	       6.2	       2.5	      12.9	       196
9:V357             	     10  	0.0500	       5.5   	      2431  	 0.250072	  0.268525	    -18.2	  Infinite	  Infinite	       1.6	  Infinite	        67
                   	         	0.0200	       5.5   	      2431  	 0.250072	  0.268525	    -18.2	  Infinite	  Infinite	       1.6	  Infinite	        67
                   	         	0.0100	       5.5   	      2431  	 0.250072	  0.268525	    -18.2	  Infinite	  Infinite	       1.6	  Infinite	        67
10:V469            	     18  	0.0500	       6.0   	      2677  	 0.201814	  0.227225	    -13.6	  Infinite	  Infinite	       2.8	  Infinite	        80
                   	         	0.0200	       6.7   	      4357  	 0.212344	  0.196393	     17.4	      10.2	      40.4	       1.7	  Infinite	        95
                   	         	0.0100	       6.7   	      4357  	 0.212344	  0.196393	     17.4	      10.2	      40.4	       1.7	  Infinite	        95
11:V162            	     14  	0.0500	       8.2   	      5305  	 0.186451	  0.164014	     11.8	       8.2	      18.0	       1.7	  Infinite	        88
                   	         	0.0200	       8.7   	      7910  	 0.172456	  0.153789	     14.6	      10.7	      21.1	       2.0	  Infinite	       106
                   	         	0.0100	       8.7   	      7910  	 0.172456	  0.153789	     14.6	      10.7	      21.1	       2.0	  Infinite	       106
12:V176            	     18  	0.0500	       8.1   	      5079  	 0.144144	  0.151885	    -41.4	  Infinite	  Infinite	       3.2	  Infinite	        83
                   	         	0.0200	       8.6   	      7633  	 0.133547	  0.141986	    -38.1	  Infinite	  Infinite	       6.0	  Infinite	       104
                   	         	0.0100	       8.6   	      7633  	 0.133547	  0.141986	    -38.1	  Infinite	  Infinite	       6.0	  Infinite	       104
13:V564            	     21  	0.0500	      16.4   	       190  	 0.052020	  0.070792	    -18.0	  Infinite	  Infinite	       2.9	  Infinite	        15
                   	         	0.0200	      17.1   	      1632  	 0.105048	  0.068930	      6.2	       4.2	       8.4	       1.9	      36.8	        67
                   	         	0.0100	      17.1   	      1632  	 0.105048	  0.068930	      6.2	       4.2	       8.4	       1.9	      36.8	        67
14:V852            	     15  	0.0500	      11.7   	       259  	 0.038094	  0.105727	     -5.9	  Infinite	  Infinite	  Infinite	  Infinite	        21
                   	         	0.0200	      12.5   	      1779  	 0.104643	  0.099928	     63.6	      24.0	  Infinite	       6.7	  Infinite	       140
                   	         	0.0100	      12.5   	      1779  	 0.104643	  0.099928	     63.6	      24.0	  Infinite	       6.7	  Infinite	       140
15:V766            	      6  	0.0500	       3.4   	      2170  	 0.232501	  0.557220	     -1.8	  Infinite	  Infinite	  Infinite	  Infinite	        66
                   	         	0.0200	       3.4   	      2170  	 0.232501	  0.557220	     -1.8	  Infinite	  Infinite	  Infinite	  Infinite	        66
                   	         	0.0100	       3.4   	      2170  	 0.232501	  0.557220	     -1.8	  Infinite	  Infinite	  Infinite	  Infinite	        66
16:V772            	      3  	0.0500	       1.4   	       612  	 0.386314	  1.983418	     -0.7	  Infinite	  Infinite	       0.0	  Infinite	         2
                   	         	0.0200	       1.4   	       612  	 0.386314	  1.983418	     -0.7	  Infinite	  Infinite	       0.0	  Infinite	         2
                   	         	0.0100	       1.4   	       612  	 0.386314	  1.983418	     -0.7	  Infinite	  Infinite	       0.0	  Infinite	         2
17:V3              	     20  	0.0500	      16.8   	      3779  	 0.067566	  0.065243	    130.9	      54.5	  Infinite	      11.7	  Infinite	       127
                   	         	0.0200	      17.2   	      6273  	 0.067340	  0.065244	    145.2	      66.5	  Infinite	      22.1	  Infinite	       376
                   	         	0.0100	      17.2   	      6273  	 0.067340	  0.065244	    145.2	      66.5	  Infinite	      22.1	  Infinite	       376
18:V487            	     11  	0.0500	       3.9   	     18917  	 0.311333	  0.359004	     -7.9	  Infinite	  Infinite	      14.1	  Infinite	       223
                   	         	0.0200	       3.9   	     18917  	 0.311333	  0.359004	     -7.9	  Infinite	  Infinite	      14.1	  Infinite	       223
                   	         	0.0100	       3.9   	     18917  	 0.311333	  0.359004	     -7.9	  Infinite	  Infinite	      14.1	  Infinite	       223
19:V383            	      8  	0.0500	       3.5   	      4977  	 0.418779	  0.537411	     -3.8	  Infinite	  Infinite	       1.3	  Infinite	        46
                   	         	0.0200	       3.5   	      4977  	 0.418779	  0.537411	     -3.8	  Infinite	  Infinite	       1.3	  Infinite	        46
                   	         	0.0100	       3.5   	      4977  	 0.418779	  0.537411	     -3.8	  Infinite	  Infinite	       1.3	  Infinite	        46
20:V391            	     19  	0.0500	       3.8   	      6186  	 0.260974	  0.293728	    -10.9	  Infinite	  Infinite	       2.7	  Infinite	       100
                   	         	0.0200	       4.2   	      7325  	 0.229012	  0.246476	    -19.2	  Infinite	  Infinite	       3.2	  Infinite	       138
                   	         	0.0100	       4.2   	      7325  	 0.229012	  0.246476	    -19.2	  Infinite	  Infinite	       3.2	  Infinite	       138
21:V635            	      6  	0.0500	       1.7   	      1271  	 0.444841	  1.273140	     -1.0	  Infinite	  Infinite	  Infinite	  Infinite	        29
                   	         	0.0200	       1.7   	      1271  	 0.444841	  1.273140	     -1.0	  Infinite	  Infinite	  Infinite	  Infinite	        29
                   	         	0.0100	       1.7   	      1271  	 0.444841	  1.273140	     -1.0	  Infinite	  Infinite	  Infinite	  Infinite	        29
22:V641            	      6  	0.0500	       2.7   	      2193  	 0.421975	  0.614521	     -2.6	  Infinite	  Infinite	  Infinite	  Infinite	       380
                   	         	0.0200	       2.7   	      2193  	 0.421975	  0.614521	     -2.6	  Infinite	  Infinite	  Infinite	  Infinite	       380
                   	         	0.0100	       2.7   	      2193  	 0.421975	  0.614521	     -2.6	  Infinite	  Infinite	  Infinite	  Infinite	       380
23:V647            	     20  	0.0500	      12.7   	      3186  	 0.093961	  0.095024	   -291.2	      80.9	  Infinite	      10.2	  Infinite	       143
