Creek,Basin,year,PVA.Extinction,PVA.Ext.L95,PVA.Ext.U95,PVA.Abundance.50,PVA.Abundance.2.5,PVA.Abund.Year,popname,popnum,year_start,year_end,year_genetics,N_mean,N_median,N_lower,N_upper,N_harmean,N_harmedian,N_lower,N_upper
2nd Boulder,East Fork Humboldt,2016,21.8,19.7,26.2,23,5,2013,Boulder_2nd_up,11,1985,2013,2016,242.4101341,238.7931034,142.0344828,363.2758621,52.16640023,45.52952519,9.69116851,131.0719223
4th Boulder,East Fork Humboldt,2016,5.6,4,7.6,1369,787,2013,Boulder_4th,12,2001,2013,2016,1349.155353,1336.076923,697.0769231,2073.615385,572.8573772,573.9596005,23.6069385,1189.197824
Abel,Little Humboldt,2016,7,5.6,8.3,112,35,2012,Abel,1,1988,2012,2016,789.8780368,766.32,475.919,1238.76,167.8750045,152.1579199,18.41967168,408.3824488
Andorno,Quinn,2016,18.9,17.7,20.2,164,47,2007,,,,,,,,,,,,,
Basin,Marys,2016,0.3,0.1,0.4,8316,3185,2002,EMR&MRBC&CC&QC&Cutt&Short&WillBas,57,1987,2002,2016,9486.499797,9394.125,6316.373438,13230.00469,7200.578433,7282.79343,3395.026726,10458.61155
Beaver,Maggie,2009,1.8,1.2,2.7,7626,4509,2009,Maggie,89,1989,2009,2009,6924.479181,6865.666667,3629.666667,10620.95357,1655.278755,1719.781276,310.3614975,2558.434485
Beaver,Maggie,2015,1.8,1.2,2.7,3166,1286,2015,Maggie,89,1989,2015,2015,7277.368028,7191.148148,4403.219444,10633.88889,1887.633812,1958.216187,388.3545113,2887.688288
Big Alvord,Steens out of basin,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
By-Day,Walker,2015,19,17.6,20.9,2690,1624,2009,,,,,,,,,,,,,
Colman,Black Rock,2016,5.6,5.1,7.6,1144,521,2008,,,,,,,,,,,,,
Corral Canyon,Quinn,2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
Cottonwood,Steens out of basin,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,
Coyote,Maggie,2009,3.4,2.6,3.9,2028,1318,2009,Coyote,43,1989,2009,2009,3405.663644,3357.095238,2244.809524,4859.714286,1143.894202,1207.656126,137.3162268,1848.355633
Coyote,Maggie,2015,3.4,2.6,3.9,2214,1108,2015,Coyote,43,1989,2015,2015,3427.431334,3378.222222,2370.777778,4770.777778,1235.498935,1299.62959,171.9900155,1961.360392
