sample_ID,species,ord,watershed,stream,year,locale,Cluster1,Cluster2,Cluster3,RBT,YCT,LCT
CAR_EFC_2017_001,LCT,52,CAR,str_EFC,2017,CAR_str_EFC,9.9999999992e-10,0.999999998,9.9999999992e-10,9.9999999992e-10,9.9999999992e-10,0.999999998
CAR_EFC_2017_002,LCT,53,CAR,str_EFC,2017,CAR_str_EFC,9.9999999976e-10,0.999999998,9.9999999976e-10,9.9999999976e-10,9.9999999976e-10,0.999999998
CAR_EFC_2017_004,LCT,54,CAR,str_EFC,2017,CAR_str_EFC,9.9999999996e-10,0.999999998,9.9999999996e-10,9.9999999996e-10,9.9999999996e-10,0.999999998
CAR_EFC_2017_006,LCT,55,CAR,str_EFC,2017,CAR_str_EFC,9.9999999966e-10,0.999999998,9.9999999966e-10,9.9999999966e-10,9.9999999966e-10,0.999999998
CAR_EFC_2017_009,LCT,56,CAR,str_EFC,2017,CAR_str_EFC,9.999999997e-10,0.999999998,9.999999997e-10,9.999999997e-10,9.999999997e-10,0.999999998
CAR_EFC_2017_010,LCT,57,CAR,str_EFC,2017,CAR_str_EFC,9.9999999965e-10,0.999999998,9.9999999965e-10,9.9999999965e-10,9.9999999965e-10,0.999999998
CAR_EFC_2017_011,LCT,58,CAR,str_EFC,2017,CAR_str_EFC,9.9999999986e-10,0.999999998,9.9999999986e-10,9.9999999986e-10,9.9999999986e-10,0.999999998
CAR_EFC_2017_012,LCT,59,CAR,str_EFC,2017,CAR_str_EFC,9.9999999968e-10,0.999999998,9.9999999968e-10,9.9999999968e-10,9.9999999968e-10,0.999999998
CAR_EFC_2017_013,LCT,60,CAR,str_EFC,2017,CAR_str_EFC,9.9999999984e-10,0.999999998,9.9999999984e-10,9.9999999984e-10,9.9999999984e-10,0.999999998
CAR_EFC_2017_015,LCT,61,CAR,str_EFC,2017,CAR_str_EFC,1e-09,0.995155353568574,0.00484464543142604,0.00484464543142604,1e-09,0.995155353568574
CAR_EFC_2017_017,LCT,62,CAR,str_EFC,2017,CAR_str_EFC,9.9999999977e-10,0.999999998,9.9999999977e-10,9.9999999977e-10,9.9999999977e-10,0.999999998
CAR_EFC_2017_018,LCT,63,CAR,str_EFC,2017,CAR_str_EFC,9.9999999979e-10,0.999999998,9.9999999979e-10,9.9999999979e-10,9.9999999979e-10,0.999999998
CAR_EFC_2017_019,LCT,64,CAR,str_EFC,2017,CAR_str_EFC,9.9999999998e-10,0.995177449928609,0.00482254907139044,0.00482254907139044,9.9999999998e-10,0.995177449928609
CAR_EFC_2017_021,LCT,65,CAR,str_EFC,2017,CAR_str_EFC,9.999999998e-10,0.999999998,9.999999998e-10,9.999999998e-10,9.999999998e-10,0.999999998
CAR_EFC_2017_022,LCT,66,CAR,str_EFC,2017,CAR_str_EFC,9.9999999992e-10,0.999999998,9.9999999992e-10,9.9999999992e-10,9.9999999992e-10,0.999999998
