pop	ne.rand	lcl.rand	ucl.rand	ne.nonrand	lcl.nonrand	ucl.nonrand
str_2BO_2016	16	8	39	22	12	47
str_4BO_2016	26	10	180	71	33	482
str_ABE_2016	36	20	76	78	46	158
str_AND_2016	21	8	Inf	46	19	Inf
str_BEA_2009	26	12	102	57	29	213
str_BEA_2015	25	14	53	79	51	137
str_BGA_2000	6	2	Inf	Inf	1	Inf
str_BYD_2015	13	7	31	25	15	46
str_CCC_2017	18	8	83	82	40	267
str_CMC_2016	29	16	62	94	59	181
str_COY_2009	13	6	32	27	15	59
str_COY_2015	44	24	110	50	27	132
str_CRA_2009	5	2	20	51	32	84
str_CWC_2000	12	5	35	90	51	216
str_DIX_2011	Inf	1	Inf	Inf	1	Inf
str_DIX_2014	Inf	1	Inf	Inf	1	Inf
str_EFC_2017	17	9	38	28	16	53
str_FCC_2017	55	21	Inf	82	34	Inf
str_FOR_1997	112	23	Inf	700	150	Inf
str_FOR_2017	34	18	76	80	47	161
str_FRZ_1997	15	5	Inf	Inf	1	Inf
str_FRZ_2000	60	13	Inf	Inf	1	Inf
str_FRZ_2017	16	8	35	22	12	46
str_GAN_2000	15	6	Inf	Inf	1	Inf
str_GAN_2017	29	15	65	41	23	86
str_GOC_2017	9	4	28	16	8	38
str_HAN_2012	18	9	38	30	18	53
str_INK_2000	12	3	Inf	Inf	1	Inf
str_INK_2013	Inf	1	Inf	Inf	1	Inf
str_INK_2016	Inf	1	Inf	Inf	1	Inf
str_IPL_2016	90	34	Inf	155	60	Inf
str_JCC_2017	12	6	30	15	8	34
str_LEE_2016	20	10	48	37	20	93
str_LIN_2000	24	10	257	Inf	1	Inf
str_LIN_2017	10	4	73	250	132	2203
str_LJK_2009	52	24	484	186	95	1521
str_LJK_2015	11	6	26	Inf	1	Inf
str_LNF_2016	28	14	69	53	31	115
str_LNG_2012	Inf	1	Inf	Inf	1	Inf
str_LON_2011	36	16	271	63	29	1947
str_LON_2016	Inf	1	Inf	Inf	1	Inf
str_LTA_2000	6	2	Inf	Inf	1	Inf
str_LWF_2015	23	10	176	Inf	1	Inf
str_MAC_2016	29	16	59	32	18	65
str_MAE_2016	Inf	1	Inf	Inf	1	Inf
str_MAR_2017	30	16	57	44	26	78
str_MAU_2016	12	4	Inf	Inf	1	Inf
str_MEI_2017	58	31	154	71	40	182
str_MHK_2000	11	6	28	18	10	35
str_MHK_2016	20	5	Inf	Inf	1	Inf
str_MIL_2015	21	11	47	28	15	56
str_MIL_2017	4	2	20	6	2	20
str_MOH_2013	32	16	87	44	23	118
str_MPH_2011	17	7	62	Inf	1	Inf
str_MRB_2016	14	5	132	64	31	2288
str_MRV_2016	Inf	1	Inf	Inf	1	Inf
str_MSQ_2000	12	4	Inf	Inf	1	Inf
str_MUR_2017	24	13	53	39	22	78
str_NFB_2013	19	7	272	Inf	1	Inf
str_NFB_2016	42	12	Inf	91	26	Inf
str_NFC_2012	12	6	30	24	13	46
str_NFG_2009	19	7	Inf	36	15	Inf
str_PEC_2018	31	17	63	37	21	82
str_PKC_2000	Inf	1	Inf	Inf	1	Inf
str_POI_2017	28	14	59	57	34	105
str_POL_2016	26	14	53	57	35	96
str_ROC_2009	46	21	227	55	26	247
str_ROC_2017	28	11	Inf	70	29	Inf
str_SEC_2010	Inf	1	Inf	Inf	1	Inf
str_SHE_2010	Inf	1	Inf	Inf	1	Inf
str_SIL_2015	17	6	Inf	240	106	Inf
str_SLK_2015	20	11	42	33	20	58
str_SNO_2010	30	14	248	70	34	436
str_TCR_2002	36	13	Inf	116	49	Inf
str_TCR_2017	29	15	61	38	21	75
str_TNY_2001	34	17	108	180	107	472
str_TNY_2012	Inf	1	Inf	Inf	1	Inf
str_TOJ_2017	30	16	63	43	25	88
str_TRB_2010	28	12	165	39	19	255
str_UWF_2015	31	15	110	Inf	1	Inf
str_WAC_1997	31	17	73	46	25	97
str_WAC_2016	24	10	Inf	600	282	29697
str_WHO_2011	21	9	160	Inf	1	Inf
str_WIC_2000	26	14	58	57	34	121
str_WIC_2017	10	5	26	12	6	28
str_WIL_1996	28	10	Inf	Inf	1	Inf
str_WLN_2009	32	18	67	49	28	96
str_WLN_2017	36	14	Inf	84	37	Inf
str_WMR_2000	Inf	1	Inf	Inf	1	Inf
str_WMR_2016	20	7	Inf	59	22	Inf
