Creek	Basin	year	Relative.percent.RBT	pred_pi	pi	pred_ho	ho	pred_Het.Hom	Het.Hom	pred_Tajimas.theta.4Nu	Tajimas.theta.4Nu	pred_Wattersons.theta.4Nu	Wattersons.theta.4Nu	pred_ne.rand	ne.rand	pred_theta_diff	theta_diff	pred_LDNe_0.01	LDNe_0.01	pred_LDNe_0.02	LDNe_0.02	LDNe_0.05	n
2nd Boulder	East Fork Humboldt	2016	0	0.0193069415177825	0.0199933566250168	0.0248095864935704	0.0259672422319098	0.0305688901304159	0.0335926275136599	0.000203794576340164	0.000185294	0.000248583346969014	0.000234105	16.000000000023	16	-0.198014838130107	-0.232766410983336	446.992496338053	447	446.998030089655	447	NA	15
4th Boulder	East Fork Humboldt	2016	0.141666666666667	0.0216111371078419	0.0251869456950007	0.0278236118473326	0.0321665461025774	0.0335050739910475	0.0409022166066289	0.000222751998568762	0.000246398	0.000276195433006264	0.000308298	26.1780447208277	26	-0.21422471008137	-0.223185312315214	NA	NA	NA	NA	NA	12
Abel	Little Humboldt	2016	0.173684210526316	0.0161296309093225	0.0192384551910174	0.0175409416349168	0.0207960398839684	0.0183161029407329	0.0227664021623141	0.000185456654636296	0.000153789	0.000289114015599071	0.00033113	36.2182839301795	36	-0.436846891154759	-0.731425248340445	640.960681243251	637.2	640.975984033125	637.2	NA	19
Andorno	Quinn	2016	0	0.0126771792798825	0.0126717801214446	0.0130091813731899	0.0129210610418664	0.0137797530441962	0.0132069317790511	0.000184329989127738	0.000173813	0.00023316534003895	0.000210279	21.0000000000005	21	-0.233944418054623	-0.189881590868854	NA	NA	NA	NA	NA	7
Basin	Marys	2016	0.228571428571429	0.0156871299068415	0.0190802533696927	0.0175938169520479	0.0211336685912957	0.0200124516904318	0.0233612967236461	0.000308087373247277	0.000362243	0.000382794074291337	0.000471299	14.2872654319248	14	-0.216264892653337	-0.26166887811292	NA	NA	NA	NA	NA	7
Beaver	Maggie	2009	0.225	0.0145363463041912	0.0139448755738331	0.0154276076984387	0.0140674767793412	0.0127109050559436	0.0151394823962514	0.000230352705849371	0.000257268	0.000267696344930009	0.000302816	31.6830651388528	33	-0.14995968377894	-0.162647031516701	8.58468464408651	3.7	8.59498709373308	3.7	36.2	12
Beaver	Maggie	2015	0.065	0.0156337529646707	0.0201385788753099	0.0159640493938015	0.0213379437198365	0.0226035352320652	0.020546701971646	0.000220071259655088	0.00023159	0.000281713978521633	0.00026752	26.6814028779009	25	-0.245693632162353	-0.143976277774438	28.0169159236304	26.6	28.015646972117	26.6	12.3	20
Big Alvord	Steens out of basin	2000	0	0.00603077572636611	0.00519197207678883	0.00625403946616557	0.00545375218150087	0.00629150623050989	0.00484841453251279	8.09354822583635e-05	6.81424e-05	9.14879865655883e-05	6.15514e-05	6.0000000000001	6	-0.12240218085392	0.101639399878792	NA	NA	NA	NA	NA	3
By-Day	Walker	2015	0.160344827586207	0.0288232565852486	0.0303941442534872	0.0324605296480957	0.0334984598177232	0.0437604330450771	0.0424355092569947	0.000128770003585751	0.000127714	0.000267509879383107	0.000305524	16.2015191769211	16	-0.700211551280079	-0.820842123728759	9.18622299143989	5.7	14.0897251365728	10.6	176.2	56
Colman	Black Rock	2016	0.0388888888888889	0.0149359999638693	0.0153022339005447	0.0161809668487756	0.0164757956804893	0.0156158708439391	0.0145539538882198	0.000194201583514418	0.000160939	0.00027789848065073	0.000265238	29.0488750214037	29	-0.354572699685267	-0.489463298113225	18.2477163641241	17.4	18.2469586890394	17.4	NA	18
