Creek	Basin	year	Relative.percent.RBT	pred_pi	pi	pred_ho	ho	pred_Het.Hom	Het.Hom	pred_Tajimas.theta.4Nu	Tajimas.theta.4Nu	pred_Wattersons.theta.4Nu	Wattersons.theta.4Nu	pred_ne.rand	ne.rand	pred_theta_diff	theta_diff	pred_LDNe_0.01	LDNe_0.01	pred_LDNe_0.02	LDNe_0.02	LDNe_0.05	n
2nd Boulder	East Fork Humboldt	2016	0	0.0226346575129457	0.0240358241990096	0.0273578565185443	0.0288775954245928	0.0335177669346357	0.0379180117784135	0.000209224373726757	0.000185294	0.000252633721242075	0.000234105	16.0000000000231	16	-0.187976991150267	-0.232766410983336	NA	NA	NA	NA	NA	10
4th Boulder	East Fork Humboldt	2016	0.17	0.0226106115863712	0.0267699712386437	0.0286132099671362	0.0332483733267023	0.0345954171672236	0.0429958999164672	0.000217274215803824	0.000246398	0.000269995527246016	0.000308298	26.382373215619	26	-0.216394767761309	-0.223185312315214	NA	NA	NA	NA	NA	10
Abel	Little Humboldt	2016	0.206666666666667	0.0167649415220046	0.0203577665967446	0.0184719124397271	0.0220209133181754	0.0201192273138774	0.0252798107629284	0.000201689067713695	0.000153789	0.00028126688625294	0.00033113	36.4648458699683	36	-0.329544828614923	-0.731425248340445	NA	NA	NA	NA	NA	15
Andorno	Quinn	2016	0	0.0140385067301444	0.0140777009728623	0.0148476108940068	0.0146857398873528	0.0154636813492755	0.0151235030123403	0.000194106813114157	0.000173813	0.000245444967239748	0.000210279	21.0000000000001	21	-0.23359320298626	-0.189881590868854	NA	NA	NA	NA	NA	7
Basin	Marys	2016	0.22	0.0198941146538245	0.0238654001365866	0.0212300444640996	0.0248587570621469	0.022133556658504	0.0255386005680685	0.000292289914001796	0.000362243	0.000361830835862729	0.000471299	14.4948359260954	14	-0.212624112215781	-0.26166887811292	NA	NA	NA	NA	NA	5
Beaver	Maggie	2009	0.27	0.0169508405625938	0.0160027005352365	0.0171230910170752	0.0161591233625132	0.0158167160055103	0.0176727221714561	0.00022332583573318	0.000257268	0.000265419884072341	0.000302816	31.9284149273314	33	-0.172253368708417	-0.162647031516701	47.5909199650549	3.2	47.5909199650549	3.2	3.2	10
Beaver	Maggie	2015	0.118181818181818	0.016950841813558	0.0233338103554378	0.0178101200898088	0.0240548058344669	0.0246072939331886	0.0238650886779613	0.000214142539353388	0.00023159	0.000281045739858468	0.00026752	26.9447046612746	25	-0.27021318279812	-0.143976277774438	NA	NA	NA	NA	NA	11
Big Alvord	Steens out of basin	2000	0	0.00637311721183885	0.00519197207678883	0.00645318724468682	0.00545375218150087	0.00703976761743198	0.00484841453251279	8.64775874507758e-05	6.81424e-05	0.000100107704339742	6.15514e-05	6.00000000000011	6	-0.146100657325864	0.101639399878792	NA	NA	NA	NA	NA	3
By-Day	Walker	2015	0.411764705882353	0.043986463319694	0.0533087576524041	0.0519082072415825	0.0610434146788728	0.0552552010830296	0.0665064953808743	0.000127422530941964	0.000127714	0.000251725507006052	0.000305524	16.9261634980395	16	-0.655696264376456	-0.820842123728759	NA	NA	NA	NA	NA	16
Colman	Black Rock	2016	0.05	0.0156229228560562	0.0160767480355495	0.0169580680980943	0.0174056459258545	0.016474209868175	0.0159599404969487	0.000207714254513338	0.000160939	0.000282873699599204	0.000265238	29.1124627104761	29	-0.30640558723798	-0.489463298113225	102.304080674136	21.4	102.304080674136	21.4	65.9	14
Corral Canyon	Quinn	2017	0.29	0.0127531895836703	0.0170819908759935	0.0134934082605962	0.0176124252395439	0.0162659020087106	0.0240451118172815	0.000190164521155433	0.000195293	0.000244535903340248	0.000288291	18.6522837207623	18	-0.250155643385416	-0.384619838538909	NA	NA	NA	NA	NA	10
Cottonwood	Steens out of basin	2000	0.0333333333333333	0.00696069398551333	0.00651817278126179	0.00711887750539704	0.00685043214493476	0.00784407610287717	0.00682384967568295	8.91510513968889e-05	8.64402e-05	0.00011374490936023	0.000111348	12.0749751403176	12	-0.242428265910938	-0.251863356863554	NA	NA	NA	NA	NA	9
Coyote	Maggie	2009	0.21	0.0184428399783208	0.0200375591177881	0.019021169776245	0.0226097348978705	0.0239677398030341	0.0397950719926741	0.000230486466081416	0.000268997	0.000272393180565024	0.000301354	31.3329920214727	13	-0.166666973949223	-0.113463463726723	47.5909199650549	46.2	47.5909199650549	46.2	46.2	10
Coyote	Maggie	2015	0.0933333333333333	0.0184428412292851	0.0214005726403586	0.0197081988489785	0.0205682626803878	0.0327583177307124	0.0217152538363453	0.000221303169701623	0.000261004	0.000288019036351151	0.000292795	26.349281755416	44	-0.261979021753529	-0.114810608180946	NA	NA	NA	NA	NA	15
Crane Canyon	Reese	2009	0	0.0058332683567421	0.00432907521693307	0.0058198776933397	0.00443641109810617	0.00769396922675596	0.00453926326700401	0.000127718695488798	5.85416e-05	0.000155968524810362	8.2981e-05	4.00000000000022	4	-0.199161804270024	-0.345378052692644	57.4585741260588	6.2	57.4585741260588	6.2	NA	21
Dixie	South Fork Humboldt	2011	0	0.0241351288819773	0.0209720599551108	0.0285223650250387	0.0278574532811821	0.0252239297653609	0.0280423038871641	0.000196186833210974	0.000209255	0.000213244476468087	0.000224727	NA	NA	-0.0833235898372503	-0.0713024964169022	NA	NA	NA	NA	NA	6
Dixie	South Fork Humboldt	2014	0	0.024135129423744	0.029368029739777	0.0288658795614055	0.0322180916976456	0.0258897956345263	0.0263839723357129	0.0002013512220082	0.000195566	0.000211957206564802	0.00016517	NA	NA	-0.0513223724627154	0.168522132529052	NA	NA	NA	NA	NA	3
East Fork Carson	Carson	2017	0.0625	0.0193505662727309	0.0201776710903178	0.0242856440286391	0.0253119761594338	0.0243605992973724	0.0260837235443376	0.00023164879429824	0.000246583	0.000242360446933349	0.000230544	17.1405783880953	17	-0.0451959654089365	0.0672315756601491	NA	NA	NA	NA	NA	8
Falls Canyon	Quinn	2017	2.57777777777778	0.02973528003066	0.076961917774591	0.0324448864426368	0.079078887226793	0.0227826660133081	0.0791867309813621	0.000220177990038828	0.000565845	0.000298697727653812	0.00066848	60.7980775178849	55	-0.302653351997848	-0.166301419804347	NA	NA	NA	NA	NA	9
Foreman	North Fork Humboldt	1997	0.25	0.0334175883154132	0.0346568106672409	0.0349762343568549	0.0370149624386913	0.0772637951482079	0.111122711454466	0.000240207848932105	0.000281456	0.000330239294791032	0.000377137	81.7630635380707	112	-0.315652192668784	-0.290561849275653	NA	NA	NA	NA	NA	7
Foreman	North Fork Humboldt	2017	0.15625	0.0334175880522244	0.0418879375969239	0.0372663312659666	0.044700252233147	0.0669871083167134	0.0598412526612295	0.000248522855948525	0.000242998	0.00032284167036165	0.000365161	65.1506959845482	34	-0.260145007227068	-0.401746911580689	NA	NA	NA	NA	NA	16
Frazier	Rock	1997	0.06	0.0190850733449694	0.0232309746328438	0.021144205236319	0.0252781486426346	0.0325504352679715	0.0289735449494489	0.000216834659554761	0.000195015	0.000232381204998209	0.000184542	37.4130593130402	15	-0.069216368655719	0.0551853871750488	NA	NA	NA	NA	NA	5
Frazier	Rock	2000	0	0.0190850730026884	0.0187118364092048	0.0214877197726858	0.0215131578947368	0.0228133491333218	0.0254951715448563	0.000179163991274157	0.000202896	0.000164395474818689	0.000235789	34.9212041800119	60	0.085973567390966	-0.149961817705187	NA	NA	NA	NA	NA	6
Frazier	Rock	2017	0	0.0190850730817806	0.0166850954805354	0.0234343021454307	0.0211590850117578	0.022273748436477	0.0260435805563141	0.000225149666571181	0.000193675	0.000224983580568828	0.000175182	20.8006917595177	18	0.000737941502470449	0.100271921096794	NA	NA	NA	NA	NA	14
Gance	North Fork Humboldt	2000	0.0166666666666667	0.0232349535661961	0.0281192964990874	0.0230613948557805	0.0280197444831591	0.0304135744435545	0.0300261607202704	0.000210674090313103	0.000216677	0.000260240928586945	0.000243027	29.1782317986878	15	-0.210512879328499	-0.114638985086055	NA	NA	NA	NA	NA	6
Gance	North Fork Humboldt	2017	0.0882352941176471	0.0232349536452883	0.019756083263048	0.0250079772285255	0.0211271259779581	0.0298739737467097	0.026923664582938	0.000256659765610127	0.000299174	0.000320829034337084	0.000396836	15.0577193781936	29	-0.222235543729414	-0.280633898938234	116.00921711116	46.2	116.00921711116	46.2	NA	17
Golden Canyon	Carson	2017	0.03	0.0194301393412806	0.0197549815723677	0.0248831569314922	0.0255536856976648	0.0247352136144253	0.0260722856459446	0.000237729753372645	0.000278855	0.000262648536215106	0.000297679	9.0674776262859	9	-0.0995997762532459	-0.0653005720391166	99.978985295089	8.2	99.978985295089	8.2	8.2	10
Hanks	Marys	2012	0.0888888888888889	0.0222415494294853	0.0248633573834899	0.02630227154464	0.0293888488525731	0.0258039159551614	0.0300509432237207	0.000264833866265442	0.00024137	0.00032715999862892	0.000399195	19.1999337075132	19	-0.210563440128219	-0.49276810315893	NA	NA	NA	NA	NA	18
Independence Lake	Truckee	2016	0.18	0.0163972454501366	0.0184922510252189	0.0174728874279089	0.0195142898532729	0.0196632549651826	0.0199574581764458	0.000269603162149732	0.000298805	0.000313459808914081	0.000329689	90.404865757714	90	-0.150435369559936	-0.0982793789598626	NA	NA	NA	NA	NA	10
Jackson	Quinn	2017	5.59333333333333	-0.0058730044511362	0.0785307117430529	-0.00680017286656024	0.0774846953511875	-0.00158383396449143	0.0974187947766387	0.000171524329223181	0.000545428	0.000166823860370143	0.000469433	27.5808285452723	15	0.0277848027423355	0.149764351965442	138.99393929439	19.9	138.99393929439	19.9	22.7	15
Lee	South Fork Humboldt	2016	0.6	0.0221434807441909	0.0333113222632582	0.0220720043381472	0.032475575900142	0.0199818977831158	0.031786374016126	0.000205059824877291	0.000222788	0.000271286232022132	0.000352552	21.3495525257145	20	-0.278060062366904	-0.451086314179442	NA	NA	NA	NA	NA	11
Line Canyon	Quinn	2000	0.075	0.0170156847575049	0.0117643040719964	0.0185160933935474	0.0128825976283603	0.0154001959516497	0.014147227280934	0.000162593103119094	0.000126252	0.000202353908579179	0.000136176	26.1014544053904	24	-0.217899060332401	-0.0756321733961315	NA	NA	NA	NA	NA	8
Line Canyon	Quinn	2017	1.74	0.0170156848365971	0.0528340207474066	0.0204626757662923	0.0569335083114611	0.0148605952548049	0.052555637153295	0.000208578778416117	0.000469454	0.000262942014329318	0.000546936	11.9809419848963	10	-0.230586802319663	-0.1524650970592	NA	NA	NA	NA	NA	5
Little Alvord	Steens out of basin	2000	0	0.00726735716242077	0.0063848524878908	0.00751935907229742	0.00682518714222809	0.00783696409097216	0.00616555429193393	8.41636879445576e-05	5.47952e-05	9.8369593292659e-05	5.55642e-05	6.00000000000034	6	-0.155652769202562	-0.013936284539423	NA	NA	NA	NA	NA	3
Little Jack	Maggie	2009	0.183333333333333	0.025227401038924	0.0349435442044255	0.0266268278699806	0.0367479036970562	0.0402290307423039	0.0421978301715624	0.00020844586047467	0.000246397	0.000285292436370701	0.000338154	34.5456487831006	52	-0.31128464770517	-0.313940101034811	NA	NA	NA	NA	NA	12
Little Jack	Maggie	2015	0.309090909090909	0.0252274022898883	0.0254063510926256	0.0273138569427141	0.0268845315904139	0.0490196086699822	0.0661086034724626	0.000199262564094878	0.000150745	0.000300918292156828	0.000329331	29.5619385170438	11	-0.40647588483792	-0.743990534831985	NA	NA	NA	NA	NA	10
Long Canyon	Little Humboldt	2011	0.2	0.0124642096014174	0.0182570221365734	0.0121602871824845	0.0186063465724483	0.0136351991173349	0.0217266840514698	0.000199738677308323	0.000210137	0.00022595197100806	0.000218207	36.449850841905	36	-0.123156540099769	-0.0376799955176213	NA	NA	NA	NA	NA	12
Long Canyon	Little Humboldt	2016	1.03333333333333	0.0124642098615566	0.0255337690631808	0.0127328114097624	0.0248366013071895	0.0132165497702344	0.0256972005246734	0.000217279882985778	0.00032192	0.000257081569650579	0.000342454	NA	NA	-0.167811640020895	-0.0618145803417954	NA	NA	NA	NA	NA	3
Long Canyon	South Fork Humboldt	2012	0	0.0143636948946656	0.0131702572380538	0.0140829503627864	0.0126032159930465	0.0160587460836772	0.0146578755537496	0.000207780280342802	0.000235518	0.000231795226200334	0.000224161	NA	NA	-0.109264258358654	0.0494127423702191	NA	NA	NA	NA	NA	5
Lower Wolf	Walker	2015	0.644444444444444	0.064355228792846	0.0842660199277846	0.0739884792620629	0.0932177871148459	0.0720908366386539	0.0988357168419434	0.000143354281581139	0.000239692	0.000285761319321321	0.000442458	24.4495193794713	23	-0.663723422968965	-0.594490947738767	NA	NA	NA	NA	NA	9
Macklin	Yuba out of basin	2016	0	0.0203122982206548	0.0207078182592473	0.0240502633855286	0.0245650513558329	0.0226613290997485	0.0224461120325549	0.000238228088483593	0.00025872	0.000276068359683666	0.000280786	24.9999999999998	25	-0.147153538916785	-0.0818007584716389	NA	NA	NA	NA	NA	17
Mahogany	Black Rock	2013	0.57	0.0154761346934393	0.0243423275458748	0.0158437480004854	0.0245007346702262	0.0160452212067289	0.0251725531068511	0.000230690085275234	0.000334986	0.000312239550025	0.000422848	33.2820748994288	32	-0.300405280712557	-0.231876637891675	NA	NA	NA	NA	NA	10
Mainstem	Marys	2017	0.05	0.0164072972504885	0.0164479016071048	0.0173897842077439	0.0171301848706376	0.0179988908211086	0.0173810943452949	0.00027507816630419	0.000267485	0.000299045365620216	0.000297237	30.1124627104763	30	-0.083491436888817	-0.105368659269517	252.084053999816	673	252.084053999816	673	NA	20
Marys River Basin	Marys	2016	0.08	0.0172385746126089	0.0180449494008816	0.0186192226188326	0.0192307692307692	0.022107960506402	0.0227808220142887	0.000293939185621459	0.000359675	0.000336794839321848	0.00037321	NA	NA	-0.135891364681779	-0.0369362178240788	NA	NA	NA	NA	NA	5
Marysville	Reese	2016	0.06	0.00790496917901006	0.00806895552658264	0.0086179198805423	0.00877879182963929	0.00923297729377256	0.00807244933860442	0.000156537457130193	0.000177768	0.00019934864276018	0.000184132	NA	NA	-0.240589253939252	-0.0351699364465322	NA	NA	NA	NA	NA	5
Meiss Meadows	Truckee	2017	0.0647058823529412	0.019933107774284	0.0213328957837459	0.0200737784428575	0.0209579575395589	0.0236206992260798	0.0262309496207641	0.000267189626097668	0.000294128	0.000295727306099986	0.000315449	58.1455399782629	58	-0.101392153513328	-0.0699534267204963	NA	NA	NA	NA	NA	17
