pop,pcrit,Neb,Neb_lCI,Neb_uCI,He_Ne,He_lCIp,He_uCIp,LDNe,LDNe_lCIp,LDNe_uCIp,LDNe_lCIj,LDNe_uCIj,facet
str_2BO,0.05,1.8,1.3,2.3,3.4,2.6,5.3,Inf,136.2,Inf,2.4,Inf,stream
str_2BO,0.02,1.8,1.3,2.3,4.3,3.2,6.9,447,43.9,Inf,2.5,Inf,stream
str_2BO,0.01,1.8,1.3,2.3,4.3,3.2,6.9,447,43.9,Inf,2.5,Inf,stream
str_4BO,0.05,2.5,1.7,3.4,3.4,2.7,5,Inf,Inf,Inf,4.7,Inf,stream
str_4BO,0.02,2.5,1.7,3.4,3.8,2.9,5.6,Inf,69,Inf,3.1,Inf,stream
str_4BO,0.01,2.5,1.7,3.4,3.8,2.9,5.6,Inf,69,Inf,3.1,Inf,stream
str_ABE,0.05,1.2,0.9,1.4,4,3.1,5.8,Inf,Inf,Inf,7.7,Inf,stream
str_ABE,0.02,1.2,0.9,1.4,7.2,5.4,11.1,637.2,66.8,Inf,6.9,Inf,stream
str_ABE,0.01,1.2,0.9,1.4,7.2,5.4,11.1,637.2,66.8,Inf,6.9,Inf,stream
str_AND,0.05,5.7,2.9,9.4,9.9,4.1,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_AND,0.02,5.7,2.9,9.4,9.9,4.1,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_AND,0.01,5.7,2.9,9.4,9.9,4.1,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_BAT,0.05,2.9,1.8,4.1,3.5,2.7,5.5,Inf,Inf,Inf,3.6,Inf,stream
str_BAT,0.02,2.9,1.8,4.1,3.5,2.7,5.5,Inf,Inf,Inf,3.6,Inf,stream
str_BAT,0.01,2.9,1.8,4.1,3.5,2.7,5.5,Inf,Inf,Inf,3.6,Inf,stream
str_BEA,0.05,0.8,0.7,0.8,4.7,3.2,9.2,14.4,11.6,18.2,3.9,265.3,stream
str_BEA,0.02,0.8,0.7,0.8,7.1,4.8,13.7,19.7,16.8,23.5,6.7,Inf,stream
str_BEA,0.01,0.8,0.7,0.8,8.4,5.7,16.6,8.9,8.1,9.9,2.1,149.7,stream
str_BGA,0.05,Inf,Inf,Inf,2.7,1.7,7.7,Inf,Inf,Inf,0.8,Inf,stream
str_BGA,0.02,Inf,Inf,Inf,2.7,1.7,7.7,Inf,Inf,Inf,0.8,Inf,stream
str_BGA,0.01,Inf,Inf,Inf,2.7,1.7,7.7,Inf,Inf,Inf,0.8,Inf,stream
str_BYD,0.05,0.7,0.7,0.7,3,2.5,3.6,176.2,64.8,Inf,20.6,Inf,stream
str_BYD,0.02,0.7,0.7,0.7,5,4.2,6.3,10.6,9.4,11.9,3.2,39.4,stream
str_BYD,0.01,0.7,0.7,0.7,7.7,6.3,10,5.7,5.2,6.2,2.5,12.9,stream
str_CCC,0.05,1.5,1.2,1.9,5.5,3.5,14.7,Inf,Inf,Inf,1.6,Inf,stream
str_CCC,0.02,1.5,1.2,1.9,5.5,3.5,14.7,Inf,Inf,Inf,1.6,Inf,stream
str_CCC,0.01,1.5,1.2,1.9,5.5,3.5,14.7,Inf,Inf,Inf,1.6,Inf,stream
str_CMC,0.05,1.2,0.9,1.4,4.1,3.1,6.3,Inf,Inf,Inf,2.8,Inf,stream
str_CMC,0.02,1.2,0.9,1.4,5.6,4.2,9.1,17.4,10.2,40.4,1.7,Inf,stream
str_CMC,0.01,1.2,0.9,1.4,5.6,4.2,9.1,17.4,10.2,40.4,1.7,Inf,stream
str_COY,0.05,1.5,1.2,2,8.1,4.6,44.1,25.8,19.4,36.7,7,Inf,stream
str_COY,0.02,1.5,1.2,2,14.8,7.6,12666.1,55.5,40.5,85.1,11.1,Inf,stream
str_COY,0.01,1.5,1.2,2,16.2,8.3,Inf,50,38.5,69.7,11.8,Inf,stream
str_CRA,0.05,0.7,0.6,0.8,1.5,1.2,2.3,Inf,Inf,Inf,2.9,Inf,stream
str_CRA,0.02,0.7,0.6,0.8,3.8,2.6,7.2,6.2,4.2,8.4,1.9,36.8,stream
str_CRA,0.01,0.7,0.6,0.8,3.8,2.6,7.2,6.2,4.2,8.4,1.9,36.8,stream
str_CWC,0.05,1.2,0.8,1.5,1.9,1.3,3.9,Inf,Inf,Inf,Inf,Inf,stream
str_CWC,0.02,1.2,0.8,1.5,4.6,3,11.8,63.6,24,Inf,6.7,Inf,stream
str_CWC,0.01,1.2,0.8,1.5,4.6,3,11.8,63.6,24,Inf,6.7,Inf,stream
str_DIX,0.05,10.6,5,18.3,2.8,2.3,3.7,Inf,Inf,Inf,1.4,Inf,stream
str_DIX,0.02,10.6,5,18.3,2.8,2.3,3.7,Inf,Inf,Inf,1.4,Inf,stream
str_DIX,0.01,10.6,5,18.3,2.8,2.3,3.7,Inf,Inf,Inf,1.4,Inf,stream
str_EFC,0.05,1.4,1,1.8,3.3,2.4,5.4,130.9,54.5,Inf,11.7,Inf,stream
str_EFC,0.02,1.4,1,1.8,4.1,3,6.9,145.2,66.5,Inf,22.1,Inf,stream
str_EFC,0.01,1.4,1,1.8,4.1,3,6.9,145.2,66.5,Inf,22.1,Inf,stream
str_FCC,0.05,6.6,4.2,9.5,11.1,6.4,50.3,Inf,Inf,Inf,14.1,Inf,stream
str_FCC,0.02,6.6,4.2,9.5,11.1,6.4,50.3,Inf,Inf,Inf,14.1,Inf,stream
str_FCC,0.01,6.6,4.2,9.5,11.1,6.4,50.3,Inf,Inf,Inf,14.1,Inf,stream
str_FOR,0.05,1,0.9,1.1,5.4,4.1,7.8,99,31.1,Inf,1.6,Inf,stream
str_FOR,0.02,1,0.9,1.1,8.1,6.1,12.2,17,12.9,23.8,2.1,Inf,stream
str_FOR,0.01,1,0.9,1.1,8.1,6.1,12.2,17,12.9,23.8,2.1,Inf,stream
str_FRZ,0.05,2.2,1.4,3.2,3.8,2.7,6.8,146.3,53.2,Inf,13.1,Inf,stream
str_FRZ,0.02,2.2,1.4,3.2,5.6,3.9,10.3,74.1,45.8,172.8,12.5,Inf,stream
str_FRZ,0.01,2.2,1.4,3.2,5.9,4.1,10.8,93.2,54.3,278,14.1,Inf,stream
str_GAN,0.05,1.4,1.1,1.7,4.7,3.3,8.7,Inf,439.9,Inf,9.3,Inf,stream
str_GAN,0.02,1.4,1.1,1.7,7.5,5.2,14.6,21.7,17.3,28.4,3,Inf,stream
str_GAN,0.01,1.4,1.1,1.7,7.5,5.2,14.6,21.7,17.3,28.4,3,Inf,stream
str_GOC,0.05,2.5,1.8,3.3,2.9,2.1,5,8.7,6.1,12.5,1.8,Inf,stream
str_GOC,0.02,2.5,1.8,3.3,3.9,2.8,6.7,11.6,8.9,15.6,2.9,Inf,stream
str_GOC,0.01,2.5,1.8,3.3,3.9,2.8,6.7,11.6,8.9,15.6,2.9,Inf,stream
str_HAN,0.05,3,2.1,4,3.3,2.6,4.7,Inf,Inf,Inf,12.3,Inf,stream
str_HAN,0.02,3,2.1,4,4.8,3.7,7.1,Inf,Inf,Inf,6.2,Inf,stream
str_HAN,0.01,3,2.1,4,4.8,3.7,7.1,Inf,Inf,Inf,6.2,Inf,stream
str_INC,0.05,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_INC,0.02,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_INC,0.01,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_INK,0.05,Inf,Inf,Inf,10.8,4.8,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_INK,0.02,Inf,Inf,Inf,10.8,4.8,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_INK,0.01,Inf,Inf,Inf,10.8,4.8,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_IPL,0.05,1.9,1.3,2.6,8.3,4.7,47.5,Inf,Inf,Inf,Inf,Inf,stream
str_IPL,0.02,1.9,1.3,2.6,8.3,4.7,47.5,Inf,Inf,Inf,Inf,Inf,stream
str_IPL,0.01,1.9,1.3,2.6,8.3,4.7,47.5,Inf,Inf,Inf,Inf,Inf,stream
str_JCC,0.05,1.7,1.5,1.9,134.5,11.4,Inf,22.7,16.5,34.3,1.7,Inf,stream
str_JCC,0.02,1.7,1.5,1.9,142,12,Inf,19.9,15.1,28.1,1.8,Inf,stream
str_JCC,0.01,1.7,1.5,1.9,142,12,Inf,19.9,15.1,28.1,1.8,Inf,stream
str_LEE,0.05,5.7,3.3,8.8,16.1,5.7,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_LEE,0.02,5.7,3.3,8.8,16.1,5.7,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_LEE,0.01,5.7,3.3,8.8,16.1,5.7,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_LIN,0.05,1,0.9,1.1,6.8,4.6,14,1,1,1.1,0.8,1.3,stream
str_LIN,0.02,1,0.9,1.1,8.9,5.9,18.7,1.5,1.4,1.6,1,2.5,stream
str_LIN,0.01,1,0.9,1.1,8.9,5.9,18.7,1.5,1.4,1.6,1,2.5,stream
str_LJK,0.05,1.1,1,1.3,6,4.5,9.2,Inf,Inf,Inf,1.6,Inf,stream
str_LJK,0.02,1.1,1,1.3,8.7,6.4,13.8,14.3,10.8,19.9,1.6,Inf,stream
str_LJK,0.01,1.1,1,1.3,8.7,6.4,13.8,14.3,10.8,19.9,1.6,Inf,stream
str_LNF,0.05,4.8,3.2,6.6,4.4,3.3,6.6,Inf,Inf,Inf,2.6,Inf,stream
str_LNF,0.02,4.8,3.2,6.6,4.9,3.7,7.6,Inf,Inf,Inf,3.9,Inf,stream
str_LNF,0.01,4.8,3.2,6.6,4.9,3.7,7.6,Inf,Inf,Inf,3.9,Inf,stream
str_LNG,0.05,17,2.8,43.5,8.6,4.2,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_LNG,0.02,17,2.8,43.5,8.6,4.2,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_LNG,0.01,17,2.8,43.5,8.6,4.2,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_LON,0.05,1,0.8,1.2,5.8,3.4,24.4,Inf,122.7,Inf,5.8,Inf,stream
str_LON,0.02,1,0.8,1.2,11,6.3,49.2,47.8,30.3,101.5,6.1,Inf,stream
str_LON,0.01,1,0.8,1.2,11,6.3,49.2,47.8,30.3,101.5,6.1,Inf,stream
str_LTA,0.05,Inf,Inf,Inf,2.3,1.6,4.4,Inf,Inf,Inf,0,Inf,stream
str_LTA,0.02,Inf,Inf,Inf,2.3,1.6,4.4,Inf,Inf,Inf,0,Inf,stream
str_LTA,0.01,Inf,Inf,Inf,2.3,1.6,4.4,Inf,Inf,Inf,0,Inf,stream
str_LWF,0.05,18.2,9.6,29.6,4.4,3.5,6,Inf,Inf,Inf,Inf,Inf,stream
str_LWF,0.02,18.2,9.6,29.6,4.4,3.5,6,Inf,Inf,Inf,Inf,Inf,stream
str_LWF,0.01,18.2,9.6,29.6,4.4,3.5,6,Inf,Inf,Inf,Inf,Inf,stream
str_MAC,0.05,2.1,1.4,2.9,3.9,2.8,6.7,Inf,50.4,Inf,10.9,Inf,stream
str_MAC,0.02,2.1,1.4,2.9,5.6,4,9.9,Inf,95.2,Inf,16,Inf,stream
str_MAC,0.01,2.1,1.4,2.9,5.6,4,9.9,Inf,95.2,Inf,16,Inf,stream
str_MAE,0.05,16,1.9,44.7,4.4,3.1,8.6,Inf,Inf,Inf,Inf,Inf,stream
str_MAE,0.02,16,1.9,44.7,4.4,3.1,8.6,Inf,Inf,Inf,Inf,Inf,stream
str_MAE,0.01,16,1.9,44.7,4.4,3.1,8.6,Inf,Inf,Inf,Inf,Inf,stream
str_MAR,0.05,1.7,1.2,2.3,4.7,3.2,9.3,4920.2,91.4,Inf,18.2,Inf,stream
str_MAR,0.02,1.7,1.2,2.3,7.6,5.2,15.4,265.2,98.6,Inf,22.9,Inf,stream
str_MAR,0.01,1.7,1.2,2.3,7.6,5.2,15.4,265.2,98.6,Inf,22.9,Inf,stream
str_MAU,0.05,7.9,4.7,11.9,4.3,3.2,6.9,Inf,Inf,Inf,Inf,Inf,stream
str_MAU,0.02,7.9,4.7,11.9,4.3,3.2,6.9,Inf,Inf,Inf,Inf,Inf,stream
str_MAU,0.01,7.9,4.7,11.9,4.3,3.2,6.9,Inf,Inf,Inf,Inf,Inf,stream
str_MEI,0.05,1.2,0.9,1.4,6.7,4,27.4,Inf,417.8,Inf,16.8,Inf,stream
str_MEI,0.02,1.2,0.9,1.4,11.6,6.7,50.5,Inf,Inf,Inf,17.6,Inf,stream
