"","pop","ho","pi","n"
".base",".base",NA,NA,NA
"0","0",0.0180831826401447,0.0180831826401447,1
"1996","1996",0.0139154160982265,0.013903407491402,8
"1997","1997",0.023767901694306,0.0230492176405494,28
"1998","1998",0.0821529745042493,0.0821529745042493,1
"2000","2000",0.0119286611853432,0.0140715854028332,79
"2001","2001",0.0138759839979352,0.0136062615139612,12
"2002","2002",0.0199418204499505,0.0182461371545542,9
"2009","2009",0.017159866198707,0.0177495845470581,88
"2010","2010",0.0176281988974844,0.0163990118313098,25
"2011","2011",0.0215686655268876,0.0230796050694341,39
"2012","2012",0.0175295228331409,0.01754469453604,42
"2013","2013",0.0215066830291226,0.0228814122699932,20
"2014","2014",0.0337881741390513,0.0307992202729045,3
"2015","2015",0.0417697479783522,0.0390327519221109,111
"2016","2016",0.0232739461801615,0.0246130030525613,170
"2017","2017",0.0277436189366846,0.0300114102958113,244
"2018","2018",0.0213651524627134,0.0195390085650229,15
"CAR","CAR",0.0276592423424589,0.0233479780301008,48
"CAR.2017","CAR.2017",0.0276592423424589,0.0233479780301008,48
"EFH","EFH",0.00854071590860209,0.00774383990140026,16
"EFH.2012","EFH.2012",0.00854071590860209,0.00774383990140026,16
"LHU","LHU",0.0215164417958661,0.021800120873953,22
"LHU.2000","LHU.2000",0.0155510480054091,0.014604462474645,4
"LHU.2013","LHU.2013",0.0255681818181818,0.0255681818181818,2
"LHU.2016","LHU.2016",0.0210324816972354,0.0210119821608659,17
"LTR","LTR",0.0202811115412741,0.0192189112958576,10
"LTR.2016","LTR.2016",0.0202811115412741,0.0192189112958576,10
"MAG","MAG",0.0253406488873227,0.0258433077864349,64
"MAG.2009","MAG.2009",0.0256812473359439,0.0250548944798151,32
"MAG.2015","MAG.2015",0.0245007551645626,0.0259770976391832,33
"MAR","MAR",0.0219317779256599,0.0213928760405617,108
"MAR.2000","MAR.2000",0.0190017254430215,0.0181438860898868,18
"MAR.2002","MAR.2002",0.0199418204499505,0.0182461371545542,9
"MAR.2012","MAR.2012",0.0303686726331394,0.025665350198469,18
"MAR.2016","MAR.2016",0.0243381333400589,0.0230617759368867,19
"MAR.2017","MAR.2017",0.0197426205381851,0.0196424228767384,45
"MCD","MCD",0.0267122301635818,0.0258604829904896,24
"MCD.1998","MCD.1998",0.0821529745042493,0.0821529745042493,1
"MCD.2000","MCD.2000",0.0133888243644341,0.012226587023335,8
"MCD.2017","MCD.2017",0.0316345315329055,0.0307096252216334,15
"NFH","NFH",0.0307843282389791,0.0295132626152997,44
"NFH.1997","NFH.1997",0.0382436443412053,0.0357928280692508,7
"NFH.2000","NFH.2000",0.0292956891317547,0.0293997744817417,6
"NFH.2017","NFH.2017",0.0288035702793379,0.0276627164769702,33
"OOB","OOB",0.0413793103448276,0.0413793103448276,1
"OOB.2011","OOB.2011",0.0413793103448276,0.0413793103448276,1
"PPT","PPT",0.0256114571169067,0.0231203274739899,12
"PPT.2016","PPT.2016",0.0256114571169067,0.0231203274739899,12
"QUI","QUI",0.0307157109356352,0.034548927707798,99
"QUI.1997","QUI.1997",0.0173594690243423,0.0159304614643653,17
"QUI.2011","QUI.2011",0.0192143072224373,0.0188512559455863,12
"QUI.2013","QUI.2013",0.0135920763969544,0.0125029667712595,8
"QUI.2016","QUI.2016",0.016484735589375,0.0156976320477683,38
"QUI.2017","QUI.2017",0.0813213403515459,0.088986321084955,24
"REE","REE",0.0067781812457383,0.00714637680707497,65
"REE.2000","REE.2000",0.00517230233951647,0.00469743991666928,20
"REE.2001","REE.2001",0.0138759839979352,0.0136062615139612,12
"REE.2009","REE.2009",0.00453942511287272,0.00442787142607087,21
"REE.2012","REE.2012",0.00952380952380952,0.00879818594104308,3
"REE.2016","REE.2016",0.00704176883038672,0.00745225822939835,10
"ROC","ROC",0.0204786256579287,0.0193260146375858,85
"ROC.1997","ROC.1997",0.0262962962962963,0.0241666666666667,5
"ROC.2000","ROC.2000",0.0221386228910169,0.0192261682685759,6
"ROC.2009","ROC.2009",0.0208909722936439,0.0199526437439465,28
"ROC.2017","ROC.2017",0.019584996500637,0.0181385377490564,47
"SFH","SFH",0.0250015612595381,0.0256796303925234,66
"SFH.2009","SFH.2009",0.00965931087882307,0.00890899224232558,7
"SFH.2011","SFH.2011",0.0289521228545619,0.0217961652921002,6
"SFH.2012","SFH.2012",0.0130984643179765,0.0136877876715275,5
"SFH.2014","SFH.2014",0.0337881741390513,0.0307992202729045,3
"SFH.2016","SFH.2016",0.0339989385675385,0.0327207730725611,30
"SFH.2018","SFH.2018",0.0213651524627134,0.0195390085650229,15
"SFL","SFL",0.0176281988974844,0.0163990118313098,25
